addr,name,amount,ss
xch1gmy6nprfk7u9m6jh9adz3wla5wtfx6ahymvmfx598ueszejs9kysrfxcy7,BSH,2000000000,
xch184ka3957m3024vd2qlnw3rrx9mmrpnhffmr0c8c24nuu48fnr4mq0m6j7c,BSH,2010000000,
xch1q5yz2xxl0df800dd6v04mh82tsqp22law99tdue9ewe0v92u0u2snpdur2,BSH,2100001000,
xch1kerhdrke6gxnnv9jlry0ke043p3jn99se84slt3kpmr6f3evmjaqq5yg9y,BSH,2201025000,
xch14gdhkmcu67dnscd0zlersxh7hpa5dfwgy7akerr46a6hj29p0arqrgzjg4,BSH,2255400000,
xch1yr0elg5u2ntdzr6ap2gqzqzyerks7fmlg6mw79yx9dzpqyp4aq3qcdqjan,BSH,2300000000,
xch1vw947t9ecjzf24f3vkzv5h7t4vvq4hcmq69tcz3xjvncua8mrauqjzr7zw,BSH,2410888000,
xch1n2awxmszy3cmetp33pufll9eekfth0f0s9m4535t0z5xm0065slqnp44gw,BSH,2500000000,
xch14vhp66u9d68hvrwznkyep2nr0t4q8sa0ynshjm37n5waavgtrpzsyajew9,BSH,2500000000,
xch1qh8hc0whf0warvzqhweerpdq6p8zxrvufz0aj8rpsg2p3w073t2qx6mpsa,BSH,2529629000,
xch14m494k9ujspp6c0jcjhaq3gggu3n232dee9j7n0lwmu8esla9n6qw2hy2y,BSH,2700000000,
xch1kfnyczx9f6rpf9ngmfke9qm0q43wk6yskj7krxhrxvzvhjcp9m0sfxutpd,BSH,3403990000,
xch19tq8q0tkm2660mfpjqv9y94j7fcdfpx860a9ymskeulafk9d653qu8wkyk,BSH,3500000000,
xch135kev9f4xjqpzaasqfx049xhs53dekxzrpnupczajnnrmd76kgqqaarg4m,BSH,3600000000,
xch1d6clfqkqhmsndgz2d6qc9hgwfnqfptvddapgcm5q47fvlchnnl9s65at37,BSH,3610000000,
xch1mv42m4zmunpex36ggl7s2m8jn76qe9wp86a6ftd9a9uu65r5xylq9a4kg2,BSH,3610001000,
xch10hh70lqgkh82mk5nqe2yp6yesv8p9wlcvwg6utgrqw9754zl5e8qf89mdn,BSH,3800009000,
xch1r9dxz6uvp6xfe6aganrwlpfdj9cgk0cseeagxd2yvmnyll6fct5q7shcu0,BSH,4855400000,
xch1gr8yrjtw5kd300gxkua2m0jz2w3lk0gwhfq6rh9c8jsjleafaqyspyss7w,BSH,5000000000,
xch1sczf9wsdpngyfhznnnddw67maq3wxyrdzwf59244jc4g93dv57kqduxedn,BSH,7988990000,
xch1lfkn4swtsalesqd5lszz6pn8j4v355d45wheajnz47l453lagpxsx75t9s,BSH,8450000000,
xch15un3edv40mxqqe3gcxkgpzew3u9hn4hp62qwchkr3g8ywag49s4qwzkp7x,BSH,8715000000,
xch1nylar4lslasmaesp6ganppjsghry7lqhwuucd7he2m4jklxsshkq7hs9hs,BSH,9960000000,
xch1lrpr9m2m5a6zdhu9zvuj28zyhmh4d489sljxfmhuvhjuepau8vksw4ccyf,BSH,10000000000,
xch1zh77wu7etnrlkdahqj5enx98aczsnxqrpdcp0hldmm2g2qzsq38q7andw4,BSH,10000000000,
xch14969pksz4wpmdqsxu6dh888z0awxzlkx6rpn09w6yk73qymvafasxykamt,BSH,10000000000,
xch1tfv7242cz4xhqraf7gps8a4f3jrneees92th70kthn3zp2ct883s9ychu3,BSH,10000000000,
xch1rufldv62exuymguq8d27dsh7tcqlg5mpkq5ax8z6txpdv3ukj7rsrjpqch,BSH,10000000000,
xch1grw5mpsyerycngqupg4keexntyjyksx6yre4pypvrqualsm2gjdqplmswc,BSH,10000000000,
xch1dj85g49gh0dld8rxs4gp9u5ugefw4laft2a8q72jw85au4nqt3ps584g6p,BSH,20860000000,
